"name","size","phrase","first_occur","song"
"a",6,0,24,"Havana"
"a",4,0,69,"Hello"
"a",8,0,9,"Shape of you"
"about",4,0,43,"Hello"
"about",1,0,195,"Shape of you"
"after",2,0,8,"Hello"
"ain't",2,0,30,"Hello"
"all",2,0,9,"Hello"
"all",1,0,175,"Shape of you"
"although my heart is falling too",3,1,126,"Shape of you"
"and",4,0,39,"Havana"
"and",4,0,53,"Hello"
"and",23,0,19,"Shape of you"
"anymore",14,0,97,"Hello"
"apart",6,0,96,"Hello"
"are",4,0,100,"Hello"
"are",1,0,171,"Shape of you"
"at",2,0,64,"Hello"
"at",1,0,22,"Shape of you"
"at least i can say that i've tried",6,1,85,"Hello"
"atlanta",2,0,100,"Havana"
"back",1,0,128,"Havana"
"backseat",1,0,218,"Shape of you"
"bacon",1,0,151,"Havana"
"bag",1,0,182,"Shape of you"
"bar",1,0,13,"Shape of you"
"be",1,0,167,"Havana"
"be",2,0,48,"Hello"
"be",2,0,93,"Shape of you"
"be my baby",14,1,308,"Shape of you"
"bedsheets",3,0,139,"Shape of you"
"before",2,0,60,"Hello"
"begin",1,0,160,"Shape of you"
"best",1,0,5,"Shape of you"
"between",2,0,71,"Hello"
"blank",1,0,163,"Havana"
"body",2,0,112,"Shape of you"
"both",2,0,136,"Hello"
"bout",2,0,8,"Havana"
"boy",2,0,99,"Shape of you"
"bump",1,0,109,"Havana"
"bumper",1,0,112,"Havana"
"but",8,0,28,"Hello"
"but when i call you never seem to be home",6,1,80,"Hello"
"cakin",1,0,146,"Havana"
"california",2,0,41,"Hello"
"campus",1,0,95,"Havana"
"can",2,0,29,"Havana"
"can",2,0,35,"Hello"
"can",1,0,177,"Shape of you"
"chance",1,0,51,"Shape of you"
"clearly",6,0,92,"Hello"
"close",1,0,164,"Havana"
"club",1,0,2,"Shape of you"
"come",1,0,34,"Shape of you"
"come on now",6,1,90,"Shape of you"
"conversation",1,0,40,"Shape of you"
"cost",1,0,170,"Havana"
"cravin",1,0,133,"Havana"
"crazy",2,0,94,"Shape of you"
"damn",1,0,104,"Havana"
"dance",1,0,69,"Shape of you"
"date",1,0,167,"Shape of you"
"did",2,0,118,"Hello"
"didn't",2,0,13,"Havana"
"difference",2,0,70,"Hello"
"diggin",1,0,138,"Havana"
"do",2,0,30,"Havana"
"do",3,0,125,"Shape of you"
"doesn't",6,0,93,"Hello"
"doin",2,0,20,"Havana"
"doing",2,0,25,"Shape of you"
"don't",6,0,89,"Hello"
"don't",2,0,95,"Shape of you"
"done",2,0,31,"Hello"
"dreaming",2,0,42,"Hello"
"drinking",1,0,27,"Shape of you"
"driver",1,0,221,"Shape of you"
"east",2,0,99,"Havana"
"eat",1,0,178,"Shape of you"
"ever",4,0,120,"Hello"
"every day discovering something brand new",6,1,143,"Shape of you"
"everything",2,0,19,"Hello"
"family",1,0,204,"Shape of you"
"fast",1,0,28,"Shape of you"
"feel",1,0,181,"Havana"
"feelin",4,0,50,"Havana"
"feet",2,0,66,"Hello"
"fell",2,0,63,"Hello"
"felt",2,0,59,"Hello"
"fill",2,0,179,"Shape of you"
"find",1,0,8,"Shape of you"
"first",1,0,166,"Shape of you"
"for",3,0,86,"Shape of you"
"forever",2,0,35,"Havana"
"forgotten",2,0,56,"Hello"
"free",2,0,54,"Hello"
"fresh",3,0,93,"Havana"
"friends",1,0,21,"Shape of you"
"from",6,0,82,"Hello"
"get",1,0,136,"Havana"
"get",1,0,210,"Shape of you"
"gettin",1,0,177,"Havana"
"girl",1,0,124,"Havana"
"girl",2,0,75,"Shape of you"
"girls",2,0,27,"Havana"
"give",1,0,48,"Shape of you"
"go",2,0,17,"Hello"
"go",2,0,17,"Shape of you"
"going",1,0,162,"Shape of you"
"got",7,0,43,"Havana"
"grab",2,0,105,"Shape of you"
"graduated",1,0,92,"Havana"
"had",2,0,79,"Havana"
"hand",1,0,55,"Shape of you"
"handmade",2,0,85,"Shape of you"
"happened",2,0,130,"Hello"
"he",8,0,12,"Havana"
"heal",2,0,26,"Hello"
"healing",2,0,33,"Hello"
"hear",2,0,37,"Hello"
"hello",13,0,1,"Hello"
"hello from the other side",6,1,77,"Hello"
"her",1,0,111,"Havana"
"hey",3,0,1,"Havana"
"him",12,0,34,"Havana"
"his",2,0,9,"Havana"
"history",1,0,156,"Havana"
"hope",2,0,114,"Hello"
"hours",2,0,192,"Shape of you"
"how",2,0,18,"Havana"
"how",4,0,57,"Hello"
"how",1,0,202,"Shape of you"
"huh",1,0,211,"Havana"
"i",16,0,28,"Havana"
"i",6,0,4,"Hello"
"i",6,0,16,"Shape of you"
"i must have called a thousand times",6,1,78,"Hello"
